Maträtt,Kategori,Arbetsinsats,Ingredienser,Förslag:,Hemlagad pizza
Aprikosmarinerad kyckling med keso och spenat,Kyckling ,Mellan,,,
Bacon- och mangosallad,Sallad,Mellan,"Bacon, ruccola, mango, citron, cashewnötter, parmesan",,
Baconburgare,Sallad,Mellan,"Bacon, toast, cocktailtomater, gräddfil, dilldip, chips, gurka, basilika, senap",,
Bibimbap,Asiatiskt,Hög,,,
Boeuf Bourguignon,Kött,Hög,,,
Bouillabaise,Soppa,Hög,,,
Bulgogi,Kött,Hög,,,
Ceasarsallad,Sallad,Låg,"Romansallad, toast, kyckling, ceasardressing, parmesan",,
Chèvretoast,Sallad,Låg,"Chèvre,ruccola,cocktailtomater,valnötter,honung,bröd",,
Chicken Tandoori,Kyckling,Mellan,,,
Chili con carne,Kött,Mellan,,,
Chiliköttbullar,Kött,Mellan,"Köttfärs,skorpmjöl,tomatpuré,soja,ris",,
Chorizopasta,Pasta,Mellan,,,
Fish and chips,Halvfabrikat,Låg,,,
Flygande Jakob,Kyckling,Mellan,,,
Friterad kyckling med gochujang,Kyckling,Hög,,,
Fryst pizza,Pizza,Låg,,,
Färsk pasta med bacon och paprika,Pasta,Mellan,"Pasta (färsk),bacon,lök,creme fraiche,paprika",,
Grekisk sallad,Sallad,Låg,"Isbergssallad, rödlök, oliver, fetaost",,
Grillpanna,Halvfabrikat,Låg,,,
Hamburgare med pommes frites,Kött,Mellan,,,
Hemlagad pizza,Pizza,Hög,"Vetemjöl,jäst,ketchup,ost,tomatpuré,köttfärs",,
Jordärtskockssoppa,Soppa,Mellan,,,
Kall nudelsallad,Sallad,Mellan,,,
Kebab med bröd,Kött,Mellan,,,
Korv stroganoff ,Kött,Mellan,,,
Korvsallad,Sallad,Låg,"Cognacsmedvurst,soltorkade tomater,majs,kidneybönor,kruksallad,ruccola",,
Kräftsoppa med morötter,Soppa,Mellan,,,
Kyckling med curry och ris,Kyckling,Mellan,,,
Kyckling med jordnötssås,Kyckling,Mellan,,,
Kyckling med röd curry,Kyckling,Mellan,,,
Kålgryta,Kött,Mellan,,,
Köttbullar med gräddsås,Kött,Hög,"Köttfärs,skorpmjöl,matlagningsgrädde,potatis",,
Köttbullar med parmesan och paprikasås,Kött,Mellan,,,
Köttfärslimpa,Kött,Mellan,,,
Lasagne,Pasta,Mellan,"Pasta (lasagneplattor),vetemjöl,köttfärs,lök,ost",,
Lasagnette,Pasta,Mellan,,,
Lax i ugn,Fisk,Mellan,,,
Lövbiff med ädelost och kroketter,Kött,Mellan,,,
Makaronilåda,Pasta,Mellan,,,
Marockansk kyckling med tranbär,Kyckling,Mellan,Couscous,,
Marockansk kycklinggryta med aprikoser,Kyckling,Mellan,Couscous,,
Morotssoppa,Soppa,Mellan,"Morötter, palsternackor",,
Paj med tomater och lök,Vegetariskt,Mellan,,,
Pannbiff,Kött,Mellan,,,
Pannkakor,Vegetariskt,Mellan,,,
Pasta med chorizo,Pasta,Mellan,,,
Pizzasmörgåsar,Pizza,Låg,"Toast,lök,ananas,ketchup,ost",,
Pokebowl,Kyckling,Mellan,,,
Potatisbullar,Halvfabrikat,Låg,,,
Quesadillas,Vegetariskt,Låg,,,
Raggmunk,Vegetariskt,Mellan,,,
Ribs med pommes frites och cole slaw,Kött,Låg,,,
Risgrynsgröt,Vegetariskt,Mellan,"Grötris, mjölk",,
Risotto,Vegetariskt,Hög,,,
Rödbetssoppa,Soppa,Mellan,"Rödbetor, matlagningsgrädde",,
Schnitzel,Halvfabrikat,Låg,,,
Snabbpizza,Pizza,Låg,"Tortillabröd, ketchup, riven ost, skinka",,
Spaghetti Carbonara,Pasta,Mellan,,,
Spaghetti med köttfärssås,Pasta,Mellan,,,
Spaghetti med pesto,Pasta,Låg,,,
Sushi,Fisk,Hög,"Sushiris, lax, avokado, surimi, soya, wasabi",,
Tacogratäng ,Kött,Låg,,,
Tacos,Kött,Mellan,,,
Texas Chili,Långkok,Hög,,,
Thailändsk nudelsallad,Asiatiskt,Mellan,"Risnudlar, kyckling, teriyaki, fisksås, sesamolja, sesamfrön, cocktailtomater, krispsallad",,
Torsk i ugn med bacon,Fisk,Mellan,"Torskfilé, potatis, bacon, cocktailtomater",,
Tortellini,Pasta,Låg,"Pasta (tortellini), parmesan, pesto",,
Tortillas (kyckling eller oumph),Kyckling,Mellan,,,
Ugnspannkaka,Vegetariskt,Mellan,,,
Ugnsstek med rostad potatis,Kött,Mellan,,,
Ugnsstekta rotfrukter,Varm,Mellan,"Morötter, palsternackor, sötpotatis, rödbetor, rosmarin, honung",,
Västerbottensostpaj,Vegetariskt,Mellan,,,
Wok med kyckling,Varm,Mellan,,,
Zucchinigratäng,Kött,Mellan,"Zucchini, köttfärs",,